"DATEKEY","DAY","MONTH","YEAR","QUARTER","DAYOFWEEK","MONTHNAME","ISWEEKEND"
23-SEP-2022,23,9,2022,3,"Friday   ","September","N"
24-SEP-2022,24,9,2022,3,"Saturday ","September","Y"
25-SEP-2022,25,9,2022,3,"Sunday   ","September","Y"
26-SEP-2022,26,9,2022,3,"Monday   ","September","N"
27-SEP-2022,27,9,2022,3,"Tuesday  ","September","N"
28-SEP-2022,28,9,2022,3,"Wednesday","September","N"
29-SEP-2022,29,9,2022,3,"Thursday ","September","N"
30-SEP-2022,30,9,2022,3,"Friday   ","September","N"
01-OCT-2022,1,10,2022,4,"Saturday ","October  ","Y"
02-OCT-2022,2,10,2022,4,"Sunday   ","October  ","Y"
03-OCT-2022,3,10,2022,4,"Monday   ","October  ","N"
04-OCT-2022,4,10,2022,4,"Tuesday  ","October  ","N"
05-OCT-2022,5,10,2022,4,"Wednesday","October  ","N"
06-OCT-2022,6,10,2022,4,"Thursday ","October  ","N"
07-OCT-2022,7,10,2022,4,"Friday   ","October  ","N"
08-OCT-2022,8,10,2022,4,"Saturday ","October  ","Y"
09-OCT-2022,9,10,2022,4,"Sunday   ","October  ","Y"
10-OCT-2022,10,10,2022,4,"Monday   ","October  ","N"
11-OCT-2022,11,10,2022,4,"Tuesday  ","October  ","N"
12-OCT-2022,12,10,2022,4,"Wednesday","October  ","N"
13-OCT-2022,13,10,2022,4,"Thursday ","October  ","N"
14-OCT-2022,14,10,2022,4,"Friday   ","October  ","N"
15-OCT-2022,15,10,2022,4,"Saturday ","October  ","Y"
16-OCT-2022,16,10,2022,4,"Sunday   ","October  ","Y"
17-OCT-2022,17,10,2022,4,"Monday   ","October  ","N"
18-OCT-2022,18,10,2022,4,"Tuesday  ","October  ","N"
19-OCT-2022,19,10,2022,4,"Wednesday","October  ","N"
20-OCT-2022,20,10,2022,4,"Thursday ","October  ","N"
21-OCT-2022,21,10,2022,4,"Friday   ","October  ","N"
22-OCT-2022,22,10,2022,4,"Saturday ","October  ","Y"
23-OCT-2022,23,10,2022,4,"Sunday   ","October  ","Y"
24-OCT-2022,24,10,2022,4,"Monday   ","October  ","N"
25-OCT-2022,25,10,2022,4,"Tuesday  ","October  ","N"
26-OCT-2022,26,10,2022,4,"Wednesday","October  ","N"
27-OCT-2022,27,10,2022,4,"Thursday ","October  ","N"
28-OCT-2022,28,10,2022,4,"Friday   ","October  ","N"
29-OCT-2022,29,10,2022,4,"Saturday ","October  ","Y"
30-OCT-2022,30,10,2022,4,"Sunday   ","October  ","Y"
31-OCT-2022,31,10,2022,4,"Monday   ","October  ","N"
01-NOV-2022,1,11,2022,4,"Tuesday  ","November ","N"
02-NOV-2022,2,11,2022,4,"Wednesday","November ","N"
03-NOV-2022,3,11,2022,4,"Thursday ","November ","N"
04-NOV-2022,4,11,2022,4,"Friday   ","November ","N"
05-NOV-2022,5,11,2022,4,"Saturday ","November ","Y"
06-NOV-2022,6,11,2022,4,"Sunday   ","November ","Y"
07-NOV-2022,7,11,2022,4,"Monday   ","November ","N"
08-NOV-2022,8,11,2022,4,"Tuesday  ","November ","N"
09-NOV-2022,9,11,2022,4,"Wednesday","November ","N"
10-NOV-2022,10,11,2022,4,"Thursday ","November ","N"
11-NOV-2022,11,11,2022,4,"Friday   ","November ","N"
12-NOV-2022,12,11,2022,4,"Saturday ","November ","Y"
13-NOV-2022,13,11,2022,4,"Sunday   ","November ","Y"
14-NOV-2022,14,11,2022,4,"Monday   ","November ","N"
15-NOV-2022,15,11,2022,4,"Tuesday  ","November ","N"
16-NOV-2022,16,11,2022,4,"Wednesday","November ","N"
17-NOV-2022,17,11,2022,4,"Thursday ","November ","N"
18-NOV-2022,18,11,2022,4,"Friday   ","November ","N"
19-NOV-2022,19,11,2022,4,"Saturday ","November ","Y"
20-NOV-2022,20,11,2022,4,"Sunday   ","November ","Y"
21-NOV-2022,21,11,2022,4,"Monday   ","November ","N"
22-NOV-2022,22,11,2022,4,"Tuesday  ","November ","N"
23-NOV-2022,23,11,2022,4,"Wednesday","November ","N"
24-NOV-2022,24,11,2022,4,"Thursday ","November ","N"
25-NOV-2022,25,11,2022,4,"Friday   ","November ","N"
26-NOV-2022,26,11,2022,4,"Saturday ","November ","Y"
27-NOV-2022,27,11,2022,4,"Sunday   ","November ","Y"
28-NOV-2022,28,11,2022,4,"Monday   ","November ","N"
29-NOV-2022,29,11,2022,4,"Tuesday  ","November ","N"
30-NOV-2022,30,11,2022,4,"Wednesday","November ","N"
01-DEC-2022,1,12,2022,4,"Thursday ","December ","N"
02-DEC-2022,2,12,2022,4,"Friday   ","December ","N"
03-DEC-2022,3,12,2022,4,"Saturday ","December ","Y"
04-DEC-2022,4,12,2022,4,"Sunday   ","December ","Y"
05-DEC-2022,5,12,2022,4,"Monday   ","December ","N"
06-DEC-2022,6,12,2022,4,"Tuesday  ","December ","N"
07-DEC-2022,7,12,2022,4,"Wednesday","December ","N"
08-DEC-2022,8,12,2022,4,"Thursday ","December ","N"
09-DEC-2022,9,12,2022,4,"Friday   ","December ","N"
10-DEC-2022,10,12,2022,4,"Saturday ","December ","Y"
11-DEC-2022,11,12,2022,4,"Sunday   ","December ","Y"
12-DEC-2022,12,12,2022,4,"Monday   ","December ","N"
13-DEC-2022,13,12,2022,4,"Tuesday  ","December ","N"
14-DEC-2022,14,12,2022,4,"Wednesday","December ","N"
15-DEC-2022,15,12,2022,4,"Thursday ","December ","N"
16-DEC-2022,16,12,2022,4,"Friday   ","December ","N"
17-DEC-2022,17,12,2022,4,"Saturday ","December ","Y"
18-DEC-2022,18,12,2022,4,"Sunday   ","December ","Y"
19-DEC-2022,19,12,2022,4,"Monday   ","December ","N"
20-DEC-2022,20,12,2022,4,"Tuesday  ","December ","N"
21-DEC-2022,21,12,2022,4,"Wednesday","December ","N"
22-DEC-2022,22,12,2022,4,"Thursday ","December ","N"
23-DEC-2022,23,12,2022,4,"Friday   ","December ","N"
24-DEC-2022,24,12,2022,4,"Saturday ","December ","Y"
25-DEC-2022,25,12,2022,4,"Sunday   ","December ","Y"
26-DEC-2022,26,12,2022,4,"Monday   ","December ","N"
27-DEC-2022,27,12,2022,4,"Tuesday  ","December ","N"
28-DEC-2022,28,12,2022,4,"Wednesday","December ","N"
29-DEC-2022,29,12,2022,4,"Thursday ","December ","N"
30-DEC-2022,30,12,2022,4,"Friday   ","December ","N"
31-DEC-2022,31,12,2022,4,"Saturday ","December ","Y"
